1525	8.582828670000715e-9
1525.0049999999999	8.73892961227199e-9
1525.01	8.891443433368558e-9
1525.015	9.072518341523525e-9
1525.02	9.23705244787177e-9
1525.025	9.311561132212544e-9
1525.03	9.360854860479764e-9
1525.0349999999999	9.50194847750122e-9
1525.04	9.702377500975594e-9
1525.045	9.83649587776985e-9
1525.05	9.845322301012036e-9
1525.055	9.770537452492053e-9
1525.06	9.679233448301783e-9
1525.065	9.59789108568686e-9
1525.07	9.50916851342996e-9
1525.075	9.379538453149612e-9
1525.0800000000002	9.194104477795663e-9
1525.085	8.976530111869627e-9
1525.09	8.768659255011287e-9
1525.095	8.568391557051469e-9
1525.1	8.307993068355852e-9
1525.105	7.915622151871455e-9
1525.1100000000001	7.480403141484907e-9
1525.115	7.056537158670893e-9
1525.12	6.591908191174548e-9
1525.125	6.178895962927402e-9
1525.13	5.748117457971708e-9
1525.135	5.334072061387341e-9
1525.14	4.992536730415444e-9
1525.145	4.605896117997884e-9
1525.1499999999999	4.174833775915367e-9
1525.155	3.78717688337735e-9
1525.16	3.4406349552971078e-9
1525.165	3.102416109886206e-9
1525.17	2.765185975093202e-9
1525.175	2.4219695219386797e-9
1525.18	2.0793525227026786e-9
1525.185	1.7595550826842547e-9
1525.19	1.4856633472513632e-9
1525.1950000000002	1.2688865591664351e-9
1525.2	1.0774156538787465e-9
1525.205	8.957512939101162e-10
1525.21	7.310506450681645e-10
1525.215	5.914775490098566e-10
1525.22	4.760912498225973e-10
1525.2250000000001	3.8177524077930727e-10
1525.23	3.1169402406330075e-10
1525.235	2.765803496427796e-10
1525.24	2.773444426069164e-10
1525.245	3.072643509080628e-10
1525.25	3.5488548207351983e-10
1525.255	4.0831769905762087e-10
1525.26	4.604312428012854e-10
1525.2649999999999	5.145232572759341e-10
1525.27	5.906126492258869e-10
1525.275	7.13071122629255e-10
1525.28	8.910563668633133e-10
1525.285	1.084051515057368e-9
1525.29	1.2617438006338935e-9
1525.295	1.4562792414480177e-9
1525.3	1.669260025425038e-9
1525.305	1.8641803654594748e-9
1525.3100000000002	2.098420266590839e-9
1525.315	2.433066539251303e-9
1525.32	2.7628486379505566e-9
1525.325	3.0420856053881813e-9
1525.33	3.3496911197071093e-9
1525.335	3.748929202904498e-9
1525.3400000000001	4.229854146438884e-9
1525.345	4.730434135401192e-9
1525.35	5.1948734282534926e-9
1525.355	5.617347810798455e-9
1525.36	6.0247907854964654e-9
1525.365	6.428216477211182e-9
1525.3700000000001	6.8217678210872445e-9
1525.375	7.184167071593302e-9
1525.3799999999999	7.487217298556048e-9
1525.385	7.729904796821249e-9
1525.3899999999999	7.937665877890861e-9
1525.3950000000002	8.10141232464367e-9
1525.4	8.226986853531982e-9
1525.405	8.362258567970656e-9
1525.41	8.552019600160163e-9
1525.415	8.808657564911809e-9
1525.4199999999998	9.092540053878675e-9
1525.4250000000002	9.350349510254618e-9
1525.43	9.571306866023337e-9
1525.435	9.763876951984827e-9
1525.44	9.958350320210303e-9
1525.445	1.0164715018138051e-8
1525.45	1.0352986325431775e-8
1525.4550000000002	1.05106600908692e-8
1525.46	1.0596349996207359e-8
1525.465	1.0673327180994626e-8
1525.47	1.0833465248435468e-8
1525.475	1.098736277705424e-8
1525.48	1.106147884390818e-8
1525.4850000000001	1.1022211891941127e-8
1525.49	1.0796605579959871e-8
1525.495	1.0435478978939389e-8
1525.5	9.999079642007844e-9
1525.5049999999999	9.579382331028075e-9
1525.5100000000002	9.201834433279614e-9
1525.515	8.848258662982667e-9
1525.52	8.507911862061567e-9
1525.525	8.215302706654203e-9
1525.53	7.996245750170084e-9
1525.5349999999999	7.795649306472076e-9
1525.5400000000002	7.572177552022421e-9
1525.545	7.3273865793816704e-9
1525.55	7.06439875531428e-9
1525.555	6.777123159492349e-9
1525.56	6.44824919439679e-9
1525.5649999999998	6.102163397382589e-9
1525.5700000000002	5.76530060785126e-9
1525.575	5.441287332355013e-9
1525.58	5.124745073286801e-9
1525.585	4.805992730270708e-9
1525.59	4.4771183951008084e-9
1525.595	4.141613630415427e-9
1525.6000000000001	3.824626313833463e-9
1525.605	3.539331021809145e-9
1525.61	3.2856016442825905e-9
1525.615	3.054932575497868e-9
1525.62	2.8402839700925914e-9
1525.625	2.6333824320359117e-9
1525.63	2.4454614773339265e-9
1525.635	2.27317637700204e-9
1525.64	2.120154297295093e-9
1525.645	1.983044645412976e-9
1525.6499999999999	1.8416951640008209e-9
1525.6550000000002	1.675809876392696e-9
1525.66	1.4635796301435676e-9
1525.665	1.235708558140681e-9
1525.67	1.0145607393605907e-9
1525.675	8.121526788288459e-10
1525.6799999999998	6.384169002357003e-10
1525.6850000000002	5.06953561349703e-10
1525.69	4.1121032776588457e-10
1525.695	3.3855674677978046e-10
1525.7	2.8113582807438346e-10
1525.705	2.4733728051633144e-10
1525.7099999999998	2.416958544932516e-10
1525.7150000000001	2.605430592861441e-10
1525.72	2.995565118456281e-10
1525.725	3.5652055225330275e-10
1525.73	4.373099723326037e-10
1525.735	5.468144780467844e-10
1525.74	6.821227860205947e-10
1525.7450000000001	8.487426697513067e-10
1525.75	1.0462008117673996e-9
1525.755	1.270138899867233e-9
1525.76	1.5019811924801234e-9
1525.7649999999999	1.7494452808300107e-9
1525.77	2.031195298414236e-9
1525.775	2.3386059304112146e-9
1525.78	2.6420479915633796e-9
1525.785	2.889355163543315e-9
1525.79	3.0879397074584182e-9
1525.7949999999998	3.2641691088375712e-9
1525.8000000000002	3.4670469191598743e-9
1525.805	3.7087829033130587e-9
1525.81	3.993928631550078e-9
1525.815	4.27342783322858e-9
1525.82	4.512853756791161e-9
1525.8249999999998	4.81668648293997e-9
1525.8300000000002	5.2826464402745065e-9
1525.835	5.7938012414417395e-9
1525.84	6.298453336619834e-9
1525.845	6.862271110215715e-9
1525.85	7.486277828810316e-9
1525.855	8.021341902405305e-9
1525.8600000000001	8.528258750856446e-9
1525.865	9.090420188373793e-9
1525.8700000000001	9.63543200658007e-9
1525.875	1.009407981583126e-8
1525.8799999999999	1.047280782536518e-8
1525.885	1.0804865370661574e-8
1525.89	1.1057456208027051e-8
1525.895	1.1202890496466992e-8
1525.9	1.1249295324056838e-8
1525.905	1.1218966615177549e-8
1525.9099999999999	1.1139362991463e-8
1525.915	1.1047146047002823e-8
1525.92	1.0977484033073755e-8
1525.925	1.0882529284138811e-8
1525.93	1.0732563910904802e-8
1525.935	1.0557253738314246e-8
